APTSourceEdit|Suites
APTSourceManagerPage|Adding...
App|Don't ask again.
App|Helpers
AppearanceSettings|Mounted Volumes Icon
AppearanceSettings|Spanned
Feedback|Close
HelpersPage|Helpers
HelpersPage|Host Manage
HostManage|Aliases
HostManage|Form
HostManage|Full Qualified
HostManage|Fully Qualified Name *
HostManage|Hosts (%1)
HostManage|IP Address
HostManage|IP Address *
HostManage|New Host
HostManage|Save Changes
HostManage|The IP and Fully Qualified fields are required.
ProcessesPage|CPU Time
ProcessesPage|Nice
ProcessesPage|Session
ProcessesPage|Start Time
ResourcesPage|%1 Minute Average: %2
ResourcesPage|Device
ResourcesPage|Download: %1/s Total: %2
ResourcesPage|File System
ResourcesPage|File System Type
ResourcesPage|Read: %1/s Total: %2
ResourcesPage|Swap: %1 (%2%) %3
ResourcesPage|Write: %1/s Total: %2
SearchPage| minute
SearchPage|%1 files found. Showing %2 of them.
SearchPage|Access
SearchPage|Advanced Search
SearchPage|Advanced Search %1
SearchPage|All
SearchPage|BETA version
SearchPage|Browse...
SearchPage|Case Insensitive
SearchPage|Change
SearchPage|Choose
SearchPage|Creation Time
SearchPage|Directory
SearchPage|Directory: %1
SearchPage|Empty
SearchPage|Equal (=)
SearchPage|Executable
SearchPage|File
SearchPage|File or Folder:
SearchPage|Greater (>)
SearchPage|Invert
SearchPage|Last Access
SearchPage|Last Change
SearchPage|Last Modification
SearchPage|Modify
SearchPage|Move Trash
SearchPage|Open Folder
SearchPage|Owner
SearchPage|Path
SearchPage|Permissions
SearchPage|Readable
SearchPage|RegEx
SearchPage|Search as Root
SearchPage|Select Directory
SearchPage|Select the search directory.
SearchPage|Smaller (<)
SearchPage|Somethings went wrong, try again.
SearchPage|Symbolic Link
SearchPage|Time
SearchPage|Writable
SettingsPage|Adjust font size relative to default (0 = default)
SettingsPage|App Quit Don't Ask
SettingsPage|Font Size Adjustment
SettingsPage|Helpers
SettingsPage|Theme
StartupAppEdit|App Icon
StartupAppEdit|Generic Name
StartupAppsPage|Startup Apps are disabled.
SystemCleanerPage|Select all
SystemCleanerPage|Sort by: 
SystemCleanerPage|Total size: %1
UninstallerPage|Packages (%1)
UninstallerPage|Snap Packages
UninstallerPage|Snap Packages (%1)
UninstallerPage|System Packages
UninstallerPage|Uninstall Selected (%1)
UnitySettings|24-Hour Time
UnitySettings|All Desktops
UnitySettings|Auto Hide
UnitySettings|Background Blur
UnitySettings|Bottom
UnitySettings|Calendar
UnitySettings|Date
UnitySettings|Date & Time
UnitySettings|Left
UnitySettings|Left Side
UnitySettings|Minimize applications with clicking
UnitySettings|Panel
UnitySettings|Position
UnitySettings|Primary Desktop
UnitySettings|Reveal Location
UnitySettings|Reveal Sensitivity
UnitySettings|Search online sources
UnitySettings|Seconds
UnitySettings|Show my name
UnitySettings|Top-Left Corner
UnitySettings|Visibility
UnitySettings|Volume
UnitySettings|Weekday
WindowManagerSettings|Focus Behaviour
WindowManagerSettings|Focus mode
WindowManagerSettings|Lower
WindowManagerSettings|Maximize
WindowManagerSettings|Maximize Horizontally
WindowManagerSettings|Maximize Vertically
WindowManagerSettings|Middle click
WindowManagerSettings|Minimize
WindowManagerSettings|Mouse
WindowManagerSettings|Raise on click
WindowManagerSettings|Right click
WindowManagerSettings|Sloppy
WindowManagerSettings|Titlebar Actions
WindowManagerSettings|Toggle Shade
SettingsPage|Language Changed
SettingsPage|The language change will take effect after restarting Stacer.
