APTSourceEdit|Suites
APTSourceManagerPage|Adding...
App|Continue
App|Don't ask again.
App|Helpers
App|Will the program continue to work in the system tray?
Feedback|Close
HelpersPage|Helpers
HelpersPage|Host Manage
HostManage|Aliases
HostManage|Form
HostManage|Full Qualified
HostManage|Fully Qualified Name *
HostManage|Hosts (%1)
HostManage|IP Address
HostManage|IP Address *
HostManage|New Host
HostManage|Save Changes
HostManage|The IP and Fully Qualified fields are required.
ResourcesPage|Device
ResourcesPage|File System
ResourcesPage|File System Type
SearchPage| minute
SearchPage|%1 files found. Showing %2 of them.
SearchPage|Access
SearchPage|Advanced Search
SearchPage|Advanced Search %1
SearchPage|All
SearchPage|BETA version
SearchPage|Browse...
SearchPage|Case Insensitive
SearchPage|Change
SearchPage|Choose
SearchPage|Creation Time
SearchPage|Directory
SearchPage|Directory: %1
SearchPage|Empty
SearchPage|Equal (=)
SearchPage|Executable
SearchPage|File
SearchPage|File or Folder:
SearchPage|Greater (>)
SearchPage|Invert
SearchPage|Last Access
SearchPage|Last Change
SearchPage|Last Modification
SearchPage|Modify
SearchPage|Move Trash
SearchPage|Open Folder
SearchPage|Owner
SearchPage|Path
SearchPage|Permissions
SearchPage|Readable
SearchPage|RegEx
SearchPage|Search as Root
SearchPage|Search...
SearchPage|Select Directory
SearchPage|Select the search directory.
SearchPage|Smaller (<)
SearchPage|Somethings went wrong, try again.
SearchPage|Symbolic Link
SearchPage|Time
SearchPage|Writable
SettingsPage|Adjust font size relative to default (0 = default)
SettingsPage|App Quit Don't Ask
SettingsPage|Font Size Adjustment
SettingsPage|Helpers
SettingsPage|Theme
StartupAppEdit|App Icon
StartupAppEdit|Generic Name
StartupAppsPage|Startup Apps are disabled.
SystemCleanerPage|Select all
SystemCleanerPage|Sort by: 
SystemCleanerPage|Total size: %1
UninstallerPage|Packages (%1)
UninstallerPage|Snap Packages
UninstallerPage|Snap Packages (%1)
UninstallerPage|System Packages
UninstallerPage|Uninstall Selected (%1)
SettingsPage|Language Changed
SettingsPage|The language change will take effect after restarting Stacer.
